Name,Price,Publisher,Date of Release,Category,Age Rating,Actual_size,Date
Video Player - video,1.0,"Wuhan Net Power Technology Co., Ltd",2020-07-14,Photo & video,3.0,193.66,Tuesday
Colors of Holi PREMI,1.0,Microsoft Corporation,2019-11-06,Personalization  >  Themes,3.0,32.38,Wednesday
Typing Speed Test,1.0,priyankasrivas,2013-07-16,Utilities & tools,3.0,90.63,Tuesday
Dailyhunt (Formerly ,1.0,Ver sé Innovation,2013-07-25,News & weather,3.0,36.65,Thursday
VP9 Video Extensions,1.0,Microsoft Corporation,2017-11-14,Utilities & tools,3.0,7.16,Tuesday
Secret Diary,1.0,Emaogroup,2014-07-12,Utilities & tools,3.0,44.14,Saturday
TubeMate Mp3 Downloa,1.0,LE KHANH HOA,2021-08-09,Entertainment,12.0,6.07,Monday
Microsoft Font Maker,1.0,Microsoft Corporation,2018-03-03,Multimedia design,3.0,15.59,Saturday
Mermaid Princess 2,1.0,Beauty Girl Games,2019-01-07,Kids & family  >  Entertainment,3.0,132.57,Monday
Express Burn CD and ,1.0,NCH Software,2018-05-09,Utilities & tools,3.0,46.39,Wednesday
Barbie Games,1.0,Paint,2018-07-31,Kids & family  >  Entertainment,3.0,233.04,Tuesday
Image Resizer for Wi,1.0,韵华软件,2018-01-16,Multimedia design  >  Photo & video production,3.0,29.59,Tuesday
Fan Speed Setting,1.0,CLEVO CO.,2018-11-21,Utilities & tools,3.0,20.08,Wednesday
Free Video Editor & ,1.0,CoolLeGet Inc,2021-05-04,Photo & video,3.0,480.38,Tuesday
My Calendar,1.0,kineapps,2014-12-10,Productivity,3.0,41.14,Wednesday
Rockwell Nova,1.0,Microsoft Corporation,2017-12-12,Personalization  >  Fonts,3.0,1.15,Tuesday
Fluent Flyouts Batte,1.0,FireCubeStudios,2021-01-11,Utilities & tools,3.0,8.85,Monday
Lingvanex Translator,1.0,NordicWise LLC,2017-10-20,Productivity,3.0,143.3,Friday
Smiling Creatures,1.0,Microsoft Corporation,2019-03-08,Personalization  >  Themes,3.0,17.75,Friday
Video Cutter Editor,1.0,Cidade,2015-09-09,Photo & video,3.0,28.89,Wednesday
Ski Paradise,1.0,Microsoft Corporation,2019-02-21,Personalization  >  Themes,3.0,12.01,Thursday
yTwitch for Twitch.t,1.0,Good Media Group,2018-11-26,Photo & video,12.0,29.86,Monday
Nero DVD Player - th,1.0,NeroAG,2019-09-10,Photo & video,3.0,133.3,Tuesday
Call of the Raven,1.0,Microsoft Corporation,2018-09-18,Personalization  >  Themes,3.0,9.4,Tuesday
ICICI Bank,1.0,ICICI Bank Limited,2014-02-21,Personal finance,12.0,846.08,Friday
French Riviera,1.0,Microsoft Corporation,2018-04-23,Personalization  >  Themes,3.0,17.07,Monday
The Viral Fever - TV,1.0,Umyhacker,2016-11-07,Entertainment,16.0,17.64,Monday
Game Controller Test,1.0,Reconco,2016-02-26,Utilities & tools,3.0,4.53,Friday
ACG Player,1.0,Axilesoft,2015-11-18,Utilities & tools,3.0,25.02,Wednesday
Photo Scan : OCR and,1.0,Define Studio,2016-08-03,Photo & video,3.0,28.55,Wednesday
ROG Aura Core,1.0,ASUSTeK COMPUTER INC.,2017-05-23,Utilities & tools,3.0,31.18,Tuesday
Find a job using lin,1.0,Better courses,2020-01-30,Productivity,3.0,31.54,Thursday
iMazing HEIC Convert,1.0,DigiDNA,2020-07-15,Photo & video,3.0,57.94,Wednesday
Bollywood Hungama,1.0,HUNGAMA DIGITAL MEDIA ENTERTAINMENT Pvt Ltd,2013-10-29,Entertainment,12.0,2.36,Tuesday
Vidmat,1.0,ShivSoft,2021-02-12,Photo & video,12.0,35.8,Friday
Thumbnail Maker & Ch,1.0,Sandpiper Studio,2021-02-05,Photo & video,3.0,62.2,Friday
Episode - Choose You,1.0,Grand GT Games Entertainment,2019-10-08,Entertainment,12.0,31.0,Tuesday
Beauty of Britain 2 ,1.0,Microsoft Corporation,2016-12-06,Personalization  >  Themes,3.0,11.75,Tuesday
Free Video Cutter Jo,1.0,dvdvideomedia,2018-11-06,Multimedia design  >  Photo & video production,3.0,18.67,Tuesday
National Geographic ,1.0,Microsoft Corporation,2019-11-08,Personalization  >  Themes,3.0,4.94,Friday
Notebook - Take Note,1.0,Zoho Corp,2018-09-25,Productivity,3.0,363.15,Tuesday
Logo Maker with Grap,1.0,Purple Martin,2018-11-05,Photo & video,3.0,234.97,Monday
Radio - FM AM,1.0,Delaire Damien,2018-09-05,Music,12.0,40.41,Wednesday
EasyPDF – Free PDF R,1.0,Tim Grabinat,2021-01-05,Productivity,3.0,31.8,Tuesday
Winter Holiday Glow,1.0,Microsoft Corporation,2017-12-01,Personalization  >  Themes,3.0,15.54,Friday
Avee Player,1.0,Daaw Aww,2018-02-26,Music,3.0,40.18,Monday
Vintage Journey,1.0,Microsoft Corporation,2017-07-31,Personalization  >  Themes,3.0,15.45,Monday
Lenovo Pen Settings,1.0,Wacom Technology Corp.,2018-01-12,Productivity,3.0,8.09,Friday
Video Trimmer - Vide,1.0,Best Game Studio,2019-11-06,Photo & video,3.0,44.24,Wednesday
World No.1 Typing Pr,1.0,MyStyle Apps,2018-08-10,Education,3.0,42.69,Friday
Aerial Iceland PREMI,1.0,Microsoft Corporation,2019-10-15,Personalization  >  Themes,3.0,16.96,Tuesday
Beautiful Sunsets,1.0,Microsoft Corporation,2017-08-15,Personalization  >  Themes,3.0,12.2,Tuesday
CorelCAD - 2D & 3D D,1.0,Corel Corporation,2018-07-28,Multimedia design  >  Illustration & graphic design,3.0,553.79,Saturday
Chromosome X Browser,1.0,Coala Apps,2019-03-11,Productivity,3.0,5.62,Monday
Speedtest - Internet,1.0,"Wuhan Net Power Technology Co., Ltd",2020-08-25,Lifestyle  >  Special interest,3.0,30.14,Tuesday
Typing Practice Prof,1.0,GoSmart,2020-06-01,Business,3.0,61.53,Monday
Zip Extractor Pro - ,1.0,CoolLeGet Inc,2020-09-23,Utilities & tools  >  File managers,3.0,67.18,Wednesday
Cool Screen Recorder,1.0,CoolLeGet Inc,2020-09-21,Photo & video,3.0,376.69,Monday
Dell CinemaColor,1.0,Portrait Displays,2018-05-21,Utilities & tools,3.0,109.46,Monday
Natural Hearts PREMI,1.0,Microsoft Corporation,2020-01-13,Personalization  >  Themes,3.0,17.98,Monday
Duplicate File Remov,1.0,Videopix,2016-07-14,Utilities & tools,3.0,29.03,Thursday
Lenovo Commercial Va,1.0,LENOVO INC.,2018-05-29,Productivity,3.0,134.65,Tuesday
Lakeside Vistas,1.0,Microsoft Corporation,2017-12-05,Personalization  >  Themes,3.0,16.43,Tuesday
Hearts in Nature,1.0,Microsoft Corporation,2018-01-12,Personalization  >  Themes,3.0,12.89,Friday
SmartTaskbar,1.0,Chanple,2018-09-11,Productivity,3.0,6.21,Tuesday
Code Writer,1.0,Actipro Software LLC,2012-12-10,Productivity,3.0,37.81,Monday
Alarm Clock HD,1.0,ANTARA SOFTWARE and CONSULTING PRIVATE LIMITED,2017-10-23,Productivity,3.0,52.91,Monday
Miro: online collabo,1.0,Realtimeboard Inc.,2017-12-08,Business  >  Collaboration,12.0,194.8,Friday
DJ Studio - Free Mus,1.0,Purple Martin,2019-06-13,Entertainment,3.0,37.93,Thursday
Photo Collage Maker ,1.0,Z Mobile Apps,2019-07-29,Photo & video,3.0,81.68,Monday
Notepad For Windows ,1.0,PiceScorp Ltd,2016-05-23,Productivity,3.0,15.82,Monday
JioFi,1.0,"Thazh, Inc.",2020-09-09,Utilities & tools,3.0,184.88,Wednesday
Twinkle Tray: Bright,1.0,Xander Frangos,2019-08-27,Utilities & tools,3.0,199.37,Tuesday
Circuit Overload,1.0,Microsoft Corporation,2018-03-21,Personalization  >  Themes,3.0,9.92,Wednesday
Duplicate Cleaner Fr,1.0,DigitalVolcano Software,2017-05-15,Utilities & tools  >  Backup & manage,3.0,74.2,Monday
Screen Catcher — mak,1.0,Everyday Tools LLC,2020-08-05,Productivity,3.0,34.98,Wednesday
8 Zip - open and ext,1.0,Finebits OÜ,2014-01-08,Utilities & tools,3.0,51.46,Wednesday
Padlet,1.0,Wallwisher Inc,2018-03-19,Productivity,18.0,222.64,Monday
JsonEditor,1.0,CompuClever Systems Inc.,2018-01-02,Utilities & tools  >  File managers,3.0,26.8,Tuesday
Facebook Watch,1.0,Facebook Inc,2018-03-19,Entertainment,12.0,17.87,Monday
Sunflowers PREMIUM,1.0,Microsoft Corporation,2020-02-19,Personalization  >  Themes,3.0,11.99,Wednesday
Colorful Birds,1.0,Microsoft Corporation,2017-08-11,Personalization  >  Themes,3.0,9.03,Friday
Seasonal Art PREMIUM,1.0,Microsoft Corporation,2020-01-15,Personalization  >  Themes,3.0,13.6,Wednesday
RAR File Extractor -,1.0,Sandpiper Studio,2021-07-02,Productivity,3.0,27.25,Friday
SpellBoy - Spell & G,1.0,SpellBoy,2018-09-10,Education  >  Language,3.0,32.0,Monday
Simplenote,1.0,"Automattic, Inc.",2018-03-29,Productivity,3.0,325.31,Thursday
Chicks and Bunnies,1.0,Microsoft Corporation,2018-03-21,Personalization  >  Themes,3.0,9.64,Wednesday
Light and Dark by Ni,1.0,Microsoft Corporation,2016-12-12,Personalization  >  Themes,3.0,5.06,Monday
PC Cleaner Tool - Cl,1.0,TwoDigit Lab,2020-12-27,Utilities & tools,3.0,36.93,Sunday
Special Day Countdow,1.0,G.d.Dev.,2017-04-11,Utilities & tools,3.0,30.28,Tuesday
Galaxy Book Smart Sw,1.0,Samsung Electronics Co. Ltd.,2021-02-19,Utilities & tools,3.0,44.44,Friday
Nature by Mike Swans,1.0,Microsoft Corporation,2016-12-13,Personalization  >  Themes,3.0,9.76,Tuesday
National Geographic ,1.0,Microsoft Corporation,2019-10-30,Personalization  >  Themes,3.0,7.24,Wednesday
ROG Aura,1.0,ASUSTeK COMPUTER INC.,2017-05-22,Utilities & tools,3.0,95.87,Monday
MSI Driver & App Cen,1.0,msiappadm,2018-09-20,Utilities & tools  >  Backup & manage,3.0,5.21,Thursday
ReadAloud,1.0,Optimilia Studios,2014-10-13,Productivity,3.0,42.57,Monday
qBittorrent (Unoffic,1.0,Jack Smeller,2021-04-15,Utilities & tools,3.0,37.98,Thursday
Arial Nova,1.0,Microsoft Corporation,2017-11-21,Personalization  >  Fonts,3.0,2.25,Tuesday
The Wonderful Moment,1.0,Microsoft Corporation,2016-12-14,Personalization  >  Themes,3.0,5.68,Wednesday
US National Parks,1.0,Microsoft Corporation,2018-02-28,Personalization  >  Themes,3.0,13.4,Wednesday
Virtual DJ Mixer : M,1.0,Queenloft,2016-11-30,Entertainment,3.0,30.52,Wednesday
"Notes - Note taking,",1.0,"Wuhan Net Power Technology Co., Ltd",2020-04-29,Utilities & tools  >  File managers,3.0,16.21,Wednesday
Power Planner: Homew,1.0,BareBones Dev,2012-05-10,Education,3.0,28.59,Thursday
Camera IO,1.0,Fast Code Studio,2018-01-15,Utilities & tools,3.0,18.78,Monday
Stars at Night,1.0,Microsoft Corporation,2017-08-11,Personalization  >  Themes,3.0,16.16,Friday
Typing Pro+ (Learn i,1.0,Dolphin Systems,2017-10-18,Education  >  Instructional tools,3.0,34.96,Wednesday
Ink Workspace,1.0,Michał Łeptuch,2020-08-26,Utilities & tools,3.0,184.63,Wednesday
My Photos,1.0,Utilities Tools,2018-07-17,Photo & video,3.0,39.5,Tuesday
JUMPING VPN – Unlimi,1.0,JUMPING HOTSPOT LTD,2019-08-09,Business  >  Sales & marketing,3.0,8.35,Friday
Rainbow Diary - note,1.0,彩虹工作室,2021-03-05,Lifestyle,3.0,23.65,Friday
Power Apps,1.0,Microsoft Corporation,2017-10-27,Productivity,3.0,114.36,Friday
Splash! — Unsplash W,1.0,T. Partl,2017-03-01,Personalization  >  Wallpaper & lock screens,12.0,29.17,Wednesday
Episode - Romance Cl,1.0,Grand GT Games Entertainment,2019-10-08,Kids & family  >  Entertainment,12.0,31.02,Tuesday
"Pic Collage Maker, P",1.0,Purple Martin,2019-06-06,Photo & video,3.0,75.53,Thursday
Xbox Avatar Editor,1.0,Microsoft Corporation,2017-03-09,Entertainment,3.0,187.14,Thursday
Tumblr,1.0,"Automattic, Inc.",2021-08-11,Social,18.0,892.0,Wednesday
Stunning Cityscapes,1.0,Microsoft Corporation,2017-11-28,Personalization  >  Themes,3.0,16.47,Tuesday
Video Player All For,1.0,Message Service,2019-04-09,Photo & video,3.0,22.11,Tuesday
Small Basic,1.0,Microsoft Corporation,2017-02-15,Education,3.0,9.44,Wednesday
Good Plan,1.0,Raximus,2012-08-21,Education,3.0,20.57,Tuesday
Bing Sunshine,1.0,Microsoft Corporation,2018-04-27,Personalization  >  Themes,3.0,5.67,Friday
One Browser,1.0,Yu-weiz,2017-03-23,Utilities & tools,3.0,39.28,Thursday
Scenic Europe 1 by I,1.0,Microsoft Corporation,2016-12-13,Personalization  >  Themes,3.0,12.4,Tuesday
Australian Landscape,1.0,Microsoft Corporation,2016-12-03,Personalization  >  Themes,3.0,9.5,Saturday
Colorful Boats PREMI,1.0,Microsoft Corporation,2020-02-12,Personalization  >  Themes,3.0,11.8,Wednesday
Allen Digital,1.0,ALLEN Career Insitute,2020-08-13,Education  >  Study guides,12.0,167.8,Thursday
Lunacy - Graphic Des,1.0,Icons8 LLC,2017-04-18,Multimedia design  >  Illustration & graphic design,3.0,480.66,Tuesday
Mouse pointer highli,1.0,Catmip5 Media,2020-09-15,Utilities & tools,3.0,1.16,Tuesday
Paper Art PREMIUM,1.0,Microsoft Corporation,2019-11-01,Personalization  >  Themes,3.0,7.9,Friday
Dell Digital Deliver,1.0,Dell Inc,2018-08-21,Utilities & tools,3.0,31.47,Tuesday
Debut Video Recorder,1.0,NCH Software,2018-07-30,Photo & video,3.0,40.73,Monday
Abstract Bubbles PRE,1.0,Microsoft Corporation,2019-10-09,Personalization  >  Themes,3.0,17.3,Wednesday
MusicBee,1.0,Steven Mayall,2017-10-23,Music,3.0,31.21,Monday
MetaMoJi ClassRoom,1.0,MetaMoJi Corporation,2015-03-03,Education,3.0,218.28,Tuesday
Practical Photoshop,1.0,Future Publishing Ltd,2015-01-20,Photo & video,12.0,1.12,Tuesday
Screenshot,1.0,Wild Lion Software,2013-10-23,Utilities & tools,3.0,18.42,Wednesday
LiveWallpaper Beta,1.0,Giantapp Studio,2020-09-28,Entertainment,3.0,278.11,Monday
Barbie Games: Dress ,1.0,JL Productions inc.,2018-03-30,Kids & family  >  Entertainment,3.0,820.0,Friday
"Easy Office: Word, S",1.0,Tim Grabinat,2021-05-23,Productivity,3.0,620.08,Sunday
Earn extra income on,1.0,Hub Academy,2019-01-22,Business  >  Sales & marketing,3.0,30.29,Tuesday
Video Maker - VideoS,1.0,Videopix,2016-06-15,Utilities & tools,3.0,103.89,Wednesday
Resume building guid,1.0,Hub Academy,2019-04-09,Business  >  Legal & HR,3.0,30.43,Tuesday
Gears 5 x Luke Preec,1.0,Microsoft Corporation,2019-07-26,Personalization,12.0,19.86,Friday
Lenovo Display Contr,1.0,LENOVO INC.,2020-09-15,Utilities & tools,3.0,266.55,Tuesday
ALL Media Player - V,1.0,Blusky Software Inc.,2020-01-21,Entertainment,3.0,188.77,Tuesday
Instant Videos Downl,1.0,GalaxyApps,2019-05-13,Productivity,3.0,19.09,Monday
HP Pen Control,1.0,HP Inc.,2018-05-15,Utilities & tools,3.0,10.09,Tuesday
"HEIC Viewer, Print a",1.0,Duckhead Software,2019-07-24,Photo & video,3.0,170.26,Wednesday
Audio Editor - Free ,1.0,"Wuhan Net Power Technology Co., Ltd",2020-10-29,Multimedia design  >  Music production,3.0,159.42,Thursday
TreeSize Free,1.0,JAM Software,2017-03-28,Utilities & tools,3.0,7.68,Tuesday
Photo Cut Paste : Ba,1.0,Photo Cool Apps,2019-03-04,Photo & video,3.0,138.98,Monday
Best HD Wallpapers a,1.0,Wallpapers Backgrounds HD,2014-08-10,Productivity,3.0,2.31,Sunday
HP Display Center,1.0,HP Inc.,2020-01-24,Utilities & tools,3.0,25.54,Friday
Leafy Structures,1.0,Microsoft Corporation,2019-12-11,Personalization  >  Themes,3.0,9.0,Wednesday
Hd Movies Hub 2021,1.0,Video Music Best,2021-03-02,Photo & video,12.0,30.41,Tuesday
CAD Reader - Dwg Vie,1.0,北京广联达云图梦想科技有限公司,2018-07-16,Utilities & tools,3.0,119.05,Monday
My MP4 to MP3 Conver,1.0,M&MSoftware,2016-01-26,Music,3.0,27.51,Tuesday
WazirX Portfolio Tra,1.0,Larisoft,2021-05-05,Business  >  Accounting & finance,3.0,59.74,Wednesday
At Home PREMIUM,1.0,Microsoft Corporation,2020-04-30,Personalization  >  Themes,3.0,7.86,Thursday
Okular,1.0,KDE e.V.,2019-09-20,Productivity,3.0,317.6,Friday
Gears 5 Campaign,1.0,Microsoft Corporation,2019-08-27,Personalization  >  Themes,12.0,36.38,Tuesday
Microsoft Edge DevTo,1.0,Microsoft Corporation,2018-02-03,Developer tools  >  Development kits,3.0,28.57,Saturday
Coolle Office Suite ,1.0,CoolLeGet Inc,2020-11-13,Productivity,3.0,948.56,Friday
Rar Zip Extractor Pr,1.0,Andrii Leshchinskiy,2017-03-24,Utilities & tools,3.0,44.29,Friday
Universal Bluetooth ,1.0,Ferdinand Stueckler,2015-05-05,Developer tools  >  Utilities,3.0,18.05,Tuesday
Avira Phantom VPN,1.0,Avira,2017-12-20,Productivity,3.0,28.71,Wednesday
Rainbow of Birds by ,1.0,Microsoft Corporation,2016-12-13,Personalization  >  Themes,3.0,11.2,Tuesday
Swimming Holes,1.0,Microsoft Corporation,2018-06-15,Personalization  >  Themes,3.0,18.02,Friday
3D Solar System - Pl,1.0,Education Terra,2021-02-10,Education,3.0,645.93,Wednesday
Fotor - Photo Editor,1.0,Chengdu Everimaging Science and Technology Co Ltd,2021-09-09,Photo & video,3.0,554.21,Thursday
Nebula Office PDF Su,1.0,Nebula PDF Office & FileExt Apps,2020-12-02,Productivity,3.0,73.25,Wednesday
Desktop Client for T,1.0,MicroJL Software,2021-02-24,Photo & video,12.0,178.55,Wednesday
Drift Max Racing,1.0,"Tiny Hot Real Games: Craft, Sport, RPG",2019-05-22,Entertainment,3.0,142.05,Wednesday
Moto GP20,1.0,G-Tecnologie,2013-07-05,Sports,3.0,39.04,Friday
Best VPN Unlimited p,1.0,Monty Inc.,2020-04-25,Security  >  Personal security,3.0,1.33,Saturday
Try a Little Tendern,1.0,Microsoft Corporation,2018-01-12,Personalization  >  Themes,3.0,13.0,Friday
Image to Text - File,1.0,Everyday Tools LLC,2021-06-15,Productivity,3.0,46.98,Tuesday
Forza Hub,1.0,Microsoft Studios,2015-11-09,Entertainment,3.0,18.82,Monday
Fields of Flowers,1.0,Microsoft Corporation,2018-04-23,Personalization  >  Themes,3.0,17.92,Monday
Liberty Book Reader,1.0,BeFree,2013-01-03,Books & reference  >  E-reader,12.0,848.84,Thursday
Explore the USA PREM,1.0,Microsoft Corporation,2019-11-22,Personalization  >  Themes,3.0,10.6,Friday
Free Color Picker: c,1.0,"AnywaySoft, Inc.",2019-05-14,Multimedia design  >  Illustration & graphic design,3.0,28.88,Tuesday
Nitrado,1.0,marbis GmbH,2017-09-11,Entertainment,3.0,4.57,Monday
Poster Maker - Poste,1.0,Picture Perfect Apps,2017-07-31,Photo & video,3.0,69.34,Monday
Near Side of the Moo,1.0,Microsoft Corporation,2018-06-28,Personalization  >  Themes,3.0,9.67,Thursday
HP System Informatio,1.0,HP Inc.,2018-08-17,Utilities & tools,3.0,1.42,Friday
Mortal Kombat ~ Fata,1.0,Pedro T. Ferreira,2017-04-20,Entertainment,3.0,23.12,Thursday
Real PC Cleaner - Fr,1.0,Xiaoya Lab,2020-05-30,Utilities & tools,3.0,28.35,Saturday
MoneyControl,1.0,Priotecs IT GmbH,2014-05-14,Personal finance,3.0,3.04,Wednesday
Running Horses,1.0,Microsoft Corporation,2018-03-21,Personalization  >  Themes,3.0,9.71,Wednesday
Pop It Fidget 3D - R,1.0,Next Tech Labs,2021-08-12,Entertainment,3.0,95.36,Thursday
Bicycles,1.0,Microsoft Corporation,2019-04-26,Personalization  >  Themes,3.0,14.66,Friday
Alienware Mobile Con,1.0,Screenovate Technologies,2021-03-08,Productivity,3.0,68.41,Monday
Virtual Breadboard,1.0,VirtualBreadboard,2016-08-03,Education  >  Instructional tools,3.0,153.14,Wednesday
Unlimited Free Music,1.0,HS2T Labs,2016-02-29,Music,3.0,85.69,Monday
Typing Test Free,1.0,Jamie L.,2017-08-25,Utilities & tools,3.0,31.7,Friday
Gallery HD,1.0,Frozen Volcano,2012-11-27,Photo & video,3.0,698.63,Tuesday
Audio Trimmer & Merg,1.0,Moon Light,2018-11-15,Music,3.0,19.45,Thursday
Care Center S,1.0,Acer Incorporated,2018-10-29,Productivity,3.0,32.78,Monday
"PDF Extra - Edit, Vi",1.0,MobiSystems,2019-07-15,Productivity,3.0,314.54,Monday
Best of Bing 2018 Ex,1.0,Microsoft Corporation,2018-12-05,Personalization  >  Themes,3.0,11.19,Wednesday
Whiteboard - Draw Yo,1.0,Next Tech Labs,2020-03-12,Entertainment,3.0,266.24,Thursday
TurboWarp,1.0,Thomas Weber,2021-10-03,Developer tools,3.0,254.27,Sunday
Book Bazaar Reader,1.0,Refrelent Software Lab,2012-11-20,Books & reference  >  E-reader,12.0,31.14,Tuesday
Free Nature Wallpape,1.0,Opening Code LTD,2015-11-18,Personalization  >  Wallpaper & lock screens,12.0,79.57,Wednesday
Free Timer,1.0,Family Apps,2013-03-05,Utilities & tools,3.0,11.03,Tuesday
MetaMoJi Note Lite,1.0,MetaMoJi Corporation,2018-02-19,Productivity,3.0,97.61,Monday
My Day: Plan your Go,1.0,Sheharyar S.,2019-12-19,Productivity,3.0,41.21,Thursday
Flipkart Lite,1.0,SBB,2017-04-18,Shopping,3.0,352.0,Tuesday
Simple Video Trim & ,1.0,bSoft Studio,2017-05-27,Photo & video,3.0,22.27,Saturday
Film Maker - Free Mo,1.0,VideoStudio,2021-05-28,Photo & video,3.0,51.48,Friday
Taskade,1.0,Taskcade Inc.,2020-03-25,Productivity,12.0,186.0,Wednesday
Video Editing,1.0,韵华软件,2020-02-12,Photo & video,3.0,32.36,Wednesday
Architectural Struct,1.0,Microsoft Corporation,2019-09-24,Personalization  >  Themes,3.0,24.85,Tuesday
Photo Editor-,1.0,Kingloft,2018-04-13,Photo & video,3.0,76.71,Friday
Virtual Piano +,1.0,ZeeMelApps,2016-05-03,Music,3.0,15.05,Tuesday
Fantastic Phenomena,1.0,Microsoft Corporation,2018-04-17,Personalization  >  Themes,3.0,15.93,Tuesday
Hot Air Balloons,1.0,Microsoft Corporation,2017-07-31,Personalization  >  Themes,3.0,7.46,Monday
Undersea Life,1.0,Microsoft Corporation,2018-04-17,Personalization  >  Themes,3.0,11.22,Tuesday
Invitation Card Make,1.0,Photo Cool Apps,2019-03-19,Photo & video,3.0,81.11,Tuesday
Scenic Europe 2 by I,1.0,Microsoft Corporation,2016-12-13,Personalization  >  Themes,3.0,12.46,Tuesday
CustomCrosshair,1.0,Ole Urbigkeit,2021-03-08,Utilities & tools,3.0,25.72,Monday
Cut Paste : Backgrou,1.0,Best Game Studio,2019-11-08,Photo & video,3.0,61.37,Friday
My Piano Phone,1.0,Son Lam,2014-07-26,Entertainment,3.0,69.23,Saturday
"Clock (Live tile, al",1.0,Asparion,2012-11-24,Utilities & tools,3.0,35.49,Saturday
Extramarks - The Lea,1.0,Extramarks Education,2018-03-14,Education  >  Early learning,3.0,61.28,Wednesday
My Stocks Alerts & C,1.0,Delaire Damien,2018-05-04,Personal finance  >  Banking & investments,3.0,41.71,Friday
Community Showcase C,1.0,Microsoft Corporation,2016-12-09,Personalization  >  Themes,3.0,16.62,Friday
Better VPN - Best Fr,1.0,SUNNET TECHNOLOGY INC,2018-09-26,Productivity,3.0,8.63,Wednesday
IPTV,1.0,Димитър Минчев,2014-02-28,Entertainment,3.0,30.55,Friday
Flash Browser,1.0,FreshJuice,2019-07-02,Productivity,3.0,5.6,Tuesday
VPN Proxy Browser,1.0,Tronlabs,2019-07-04,Security,3.0,5.14,Thursday
GoTrust ID,1.0,GoTrustID Inc.,2017-02-17,Security  >  Personal security,3.0,39.16,Friday
Cheats for GTA,1.0,Midnight Labs Ltd,2014-04-15,Books & reference  >  Reference,3.0,3.2,Tuesday
Take a Hike,1.0,Microsoft Corporation,2018-04-23,Personalization  >  Themes,3.0,15.98,Monday
Calculator +,1.0,Jonas Zoche,2014-03-21,Utilities & tools,3.0,26.3,Friday
Photo Size Changer –,1.0,"Photo & Video Labs, LLC",2021-05-20,Photo & video,3.0,37.73,Thursday
My To-do List,1.0,ProjectDNA,2015-07-23,Productivity,3.0,10.75,Thursday
Dogs in Shades,1.0,Microsoft Corporation,2019-06-04,Personalization  >  Themes,3.0,18.35,Tuesday
Webp Image Extension,1.0,Microsoft Corporation,2018-05-23,Utilities & tools,3.0,1.98,Wednesday
Dog Days,1.0,Microsoft Corporation,2018-02-28,Personalization  >  Themes,3.0,12.24,Wednesday
Ditto Clipboard,1.0,Scott Brogden,2016-11-10,Productivity,3.0,10.63,Thursday
Power Automate,1.0,Microsoft Corporation,2020-12-17,Productivity,3.0,327.6,Thursday
Video clip - Video c,1.0,"Wuhan Net Power Technology Co., Ltd",2020-06-23,Photo & video,3.0,202.52,Tuesday
GCompris,1.0,Timothée Giet,2017-11-07,Education,3.0,175.05,Tuesday
Glorious Blue,1.0,Microsoft Corporation,2017-10-20,Personalization  >  Themes,3.0,17.53,Friday
Convert Text to Spee,1.0,Yunus.inc,2014-09-13,Productivity,3.0,44.01,Saturday
Aajtak,1.0,Living Media India Limited,2012-10-01,News & weather  >  News,16.0,4.04,Monday
Free GST Invoice Gen,1.0,Zoho Corp,2016-03-11,Business  >  Accounting & finance,3.0,32.95,Friday
OCR Scan-Image to te,1.0,"Wuhan Net Power Technology Co., Ltd",2020-11-24,Productivity,3.0,127.07,Tuesday
Magnificent Japanese,1.0,Microsoft Corporation,2018-06-15,Personalization  >  Themes,3.0,18.86,Friday
Cat Expressions,1.0,Microsoft Corporation,2018-06-29,Personalization  >  Themes,3.0,14.11,Friday
"MySQL, SQL & DBMS-si",1.0,WAGmob,2014-01-08,Books & reference  >  Reference,3.0,20.76,Wednesday
S Note,1.0,Samsung Electronics Co. Ltd.,2012-07-02,Productivity,3.0,99.82,Monday
Termius - SSH client,1.0,Termius Corporation,2018-07-10,Developer tools  >  Networking,3.0,216.62,Tuesday
Pantherbar,1.0,Johannes Tscholl,2018-10-29,Productivity,3.0,58.05,Monday
South Indian Beaches,1.0,Microsoft Corporation,2016-12-13,Personalization  >  Themes,3.0,12.83,Tuesday
My Dell,1.0,Dell Inc,2018-03-20,Utilities & tools,3.0,143.3,Tuesday
WordWeb Dictionary,1.0,WordWeb Software,2012-11-14,Books & reference  >  Reference,3.0,81.89,Wednesday
CV Maker Free,1.0,Individual Software Inc.,2015-01-09,Productivity,3.0,54.57,Friday
Fast PC Cleaner (+Va,1.0,XWinMart,2019-02-08,Security  >  PC protection,3.0,30.16,Friday
AllTube Music&Video ,1.0,MarMacApp,2019-04-24,Entertainment,3.0,30.39,Wednesday
Globe 3D - Get gener,1.0,Interactive.Motion,2020-11-27,Travel,3.0,414.98,Friday
ReadySunValley,1.0,Builtbybel,2021-08-10,Developer tools  >  Utilities,3.0,1.45,Tuesday
Video Merge : Easy V,1.0,Z Mobile Apps,2019-04-10,Photo & video,3.0,99.55,Wednesday
Free Car Wallpapers ,1.0,Opening Code LTD,2016-01-09,Personalization  >  Wallpaper & lock screens,12.0,44.92,Saturday
Cherry Blossoms,1.0,Microsoft Corporation,2017-08-08,Personalization  >  Themes,3.0,18.15,Tuesday
Calculator Vault (Hi,1.0,GoSmart,2019-05-17,Security  >  Personal security,3.0,29.84,Friday
